year,make,model,price,mileage,color,url,body_type
2013,Jeep,Wrangler,"$14,990",123299,black,https://www.carpages.ca/used-cars/nova-scotia/halifax/2013-jeep-wrangler-13298270/,Convertible
2019,Mercedes-Benz,C-Class,"$65,900",58907,silver,https://www.carpages.ca/used-cars/ontario/vaughan/2019-mercedes-benz-c-class-13297784/,Convertible
2025,Chevrolet,Corvette,"$215,500",487,red,https://www.carpages.ca/used-cars/manitoba/winnipeg/2025-chevrolet-corvette-13297667/,Convertible
2010,Mercedes-Benz,SL-Class,"$29,995",98522,black,https://www.carpages.ca/used-cars/british-columbia/langley/2010-mercedes-benz-sl-class-13296530/,Convertible
2026,Ford,Mustang,"$73,196",0,red,https://www.carpages.ca/new-cars/ontario/peterborough/2026-ford-mustang-13295676/,Convertible
2026,Ford,Mustang,"$73,196",0,black,https://www.carpages.ca/new-cars/ontario/peterborough/2026-ford-mustang-13295649/,Convertible
2019,Volkswagen,Beetle,"$25,888",54354,black,https://www.carpages.ca/used-cars/ontario/kanata/2019-volkswagen-beetle-13295303/,Convertible
2013,Mercedes-Benz,SLK,"$35,900",123524,white,https://www.carpages.ca/used-cars/ontario/vaughan/2013-mercedes-benz-slk-13294928/,Convertible
2023,Chevrolet,Corvette,"$164,988",14098,orange,https://www.carpages.ca/used-cars/ontario/brantford/2023-chevrolet-corvette-13292954/,Convertible
2021,BMW,Z4,"$64,990",11963,white,https://www.carpages.ca/used-cars/nova-scotia/halifax/2021-bmw-z4-13291364/,Convertible
2021,Jeep,Wrangler,"$30,988",61268,gray,https://www.carpages.ca/used-cars/ontario/guelph/2021-jeep-wrangler-13288832/,Convertible
2014,Volkswagen,Beetle,"$14,995",95000,white,https://www.carpages.ca/used-cars/ontario/kitchener/2014-volkswagen-beetle-13288490/,Convertible
2013,Mercedes-Benz,SL-Class,"$41,995",71000,gray,https://www.carpages.ca/used-cars/ontario/kitchener/2013-mercedes-benz-sl-class-13288487/,Convertible
2014,Volkswagen,Beetle,"$14,995",95000,white,https://www.carpages.ca/used-cars/ontario/ancaster/2014-volkswagen-beetle-13288463/,Convertible
2013,Mercedes-Benz,SL-Class,"$41,995",71000,gray,https://www.carpages.ca/used-cars/ontario/ancaster/2013-mercedes-benz-sl-class-13288454/,Convertible
2022,Jeep,Wrangler,"$37,495",63027,gray,https://www.carpages.ca/used-cars/ontario/cayuga/2022-jeep-wrangler-13288400/,Convertible
2023,Jeep,Wrangler,"$36,995",46665,granite,https://www.carpages.ca/used-cars/ontario/cayuga/2023-jeep-wrangler-13288397/,Convertible
2021,Jeep,Wrangler,"$37,980",76790,white,https://www.carpages.ca/used-cars/manitoba/dauphin/2021-jeep-wrangler-4xe-13285742/,Convertible
2021,Jeep,Wrangler,"$35,986",135987,black,https://www.carpages.ca/used-cars/ontario/innisfil/2021-jeep-wrangler-13278749/,Convertible
2023,Mazda,Miata,"$36,593",18939,gray,https://www.carpages.ca/used-cars/british-columbia/burnaby/2023-mazda-miata-mx-5-13276898/,Convertible
1990,Mazda,Miata,"$7,900",248544,blue,https://www.carpages.ca/used-cars/ontario/gananoque/1990-mazda-miata-mx-5-13275959/,Convertible
2018,Jeep,Wrangler,"$26,996",87029,black,https://www.carpages.ca/used-cars/ontario/barrie/2018-jeep-wrangler-13270988/,Convertible
2021,BMW,4,"$46,998",68387,black,https://www.carpages.ca/used-cars/ontario/thornhill/2021-bmw-4-series-13269902/,Convertible
2025,Porsche,718,"$239,977",5975,silver,https://www.carpages.ca/used-cars/nova-scotia/halifax/2025-porsche-718-spyder-13269713/,Convertible
2025,Jeep,Wrangler,"$54,995",5858,black,https://www.carpages.ca/used-cars/nova-scotia/halifax/2025-jeep-wrangler-13269710/,Convertible
2021,Jeep,Wrangler,"$39,984",69790,snazzberry,https://www.carpages.ca/used-cars/saskatchewan/saskatoon/2021-jeep-wrangler-4xe-13269623/,Convertible
2023,Mazda,Miata,"$33,995",12200,red,https://www.carpages.ca/used-cars/british-columbia/surrey/2023-mazda-miata-mx-5-13269200/,Convertible
2019,Ferrari,Portofino,"$228,000",21316,red,https://www.carpages.ca/used-cars/british-columbia/vancouver/2019-ferrari-portofino-13267922/,Convertible
2021,Jeep,Wrangler,"$34,986",94932,white,https://www.carpages.ca/used-cars/ontario/innisfil/2021-jeep-wrangler-13266029/,Convertible
2007,Mercedes-Benz,SL-Class,"$59,999",99163,black,https://www.carpages.ca/used-cars/ontario/mississauga/2007-mercedes-benz-sl-class-13261466/,Convertible
2017,Ford,Mustang,"$29,988",34534,red,https://www.carpages.ca/used-cars/ontario/brantford/2017-ford-mustang-13260221/,Convertible
2022,Mercedes-Benz,E53,"$83,995",38511,blue,https://www.carpages.ca/used-cars/alberta/calgary/2022-mercedes-benz-e53-13259597/,Convertible
2023,Ford,Bronco,"$48,888",78459,black,https://www.carpages.ca/used-cars/ontario/guelph/2023-ford-bronco-13259141/,Convertible
2025,Ford,Bronco,"$88,055",9,gray,https://www.carpages.ca/new-cars/nova-scotia/halifax/2025-ford-bronco-13258619/,Convertible
2018,Chevrolet,Malibu,"$12,995",188281,black,https://www.carpages.ca/used-cars/ontario/london/2018-chevrolet-malibu-13257509/,Convertible
2021,Ford,Bronco,"$36,995",38849,gray,https://www.carpages.ca/used-cars/ontario/cayuga/2021-ford-bronco-13241894/,Convertible
2022,Ford,Bronco,"$31,995",84466,black,https://www.carpages.ca/used-cars/ontario/cayuga/2022-ford-bronco-13241858/,Convertible
2020,Fiat,124,"$23,895",33134,white,https://www.carpages.ca/used-cars/ontario/scarborough/2020-fiat-124-spider-13238939/,Convertible
2017,Jeep,Wrangler,"$22,999",146200,black,https://www.carpages.ca/used-cars/nova-scotia/dartmouth/2017-jeep-wrangler-13238816/,Convertible
2024,Porsche,718,"$229,877",5662,blue,https://www.carpages.ca/used-cars/nova-scotia/halifax/2024-porsche-718-spyder-13237742/,Convertible
2025,Porsche,911,"$219,877",7426,green,https://www.carpages.ca/used-cars/nova-scotia/halifax/2025-porsche-911-13237739/,Convertible
1968,Ford,Torino,"$45,000",4944,blue,https://www.carpages.ca/used-cars/ontario/etobicoke/1968-ford-torino-13236491/,Convertible
2017,Chevrolet,Corvette,"$72,988",41491,red,https://www.carpages.ca/used-cars/ontario/brantford/2017-chevrolet-corvette-13217078/,Convertible
2001,Volkswagen,Cabrio,"$2,995",102111,black,https://www.carpages.ca/used-cars/quebec/rouyn-noranda/2001-volkswagen-cabrio-13215563/,Convertible
2026,Mercedes-Benz,SL-Class,"$189,245",90,black,https://www.carpages.ca/new-cars/british-columbia/vancouver/2026-mercedes-benz-sl-class-13214981/,Convertible
2008,Nissan,350Z,"$18,995",56582,gray,https://www.carpages.ca/used-cars/ontario/london/2008-nissan-350z-13213634/,Convertible
2025,Ford,Bronco,"$55,521.50",0,black,https://www.carpages.ca/new-cars/nova-scotia/port-hawkesbury/2025-ford-bronco-13211186/,Convertible
2022,Ford,Bronco,"$47,595",106081,gray,https://www.carpages.ca/used-cars/ontario/cayuga/2022-ford-bronco-13210739/,Convertible
2021,Mercedes-Benz,C-Class,"$41,888",57595,black,https://www.carpages.ca/used-cars/ontario/thornhill/2021-mercedes-benz-c-class-13210196/,Convertible
2022,Ford,Bronco,"$46,988",104362,blue,https://www.carpages.ca/used-cars/nova-scotia/halifax/2022-ford-bronco-13206719/,Convertible
2007,Jeep,Wrangler,"$14,973",182418,Other,https://www.carpages.ca/used-cars/saskatchewan/saskatoon/2007-jeep-wrangler-13206638/,Convertible
2008,Lamborghini,Gallardo,"$118,888",78544,Other,https://www.carpages.ca/used-cars/british-columbia/abbotsford/2008-lamborghini-gallardo-13206206/,Convertible
2021,Jeep,Wrangler,"$34,988",86304,red,https://www.carpages.ca/used-cars/ontario/guelph/2021-jeep-wrangler-13204523/,Convertible
2024,Ford,Bronco,"$62,916",14926,gray,https://www.carpages.ca/used-cars/saskatchewan/regina/2024-ford-bronco-13201136/,Convertible
2023,Ford,Bronco,"$38,988",61613,silver,https://www.carpages.ca/used-cars/ontario/guelph/2023-ford-bronco-13199762/,Convertible
2024,Ford,Mustang,"$44,995",3700,black,https://www.carpages.ca/used-cars/ontario/lowbanks/2024-ford-mustang-13196498/,Convertible
2021,Ford,Bronco,"$37,790",40012,black,https://www.carpages.ca/used-cars/nova-scotia/halifax/2021-ford-bronco-13194992/,Convertible
2018,Bentley,Continental,"$249,000",57000,blue,https://www.carpages.ca/used-cars/british-columbia/vancouver/2018-bentley-continental-13194404/,Convertible
2011,Maserati,GranTurismo,"$45,900",59520,burgundy,https://www.carpages.ca/used-cars/ontario/vaughan/2011-maserati-granturismo-13193996/,Convertible
2023,Jeep,Wrangler,"$41,624",57863,gray,https://www.carpages.ca/used-cars/alberta/edmonton/2023-jeep-wrangler-13191497/,Convertible
