year,make,model,price,mileage,color,url,body_type
2012,BMW,1,"$9,999",145000,white,https://www.carpages.ca/used-cars/ontario/toronto/2012-bmw-1-series-13299521/,Coupe
2022,Mercedes-Benz,GLE-Class,"$121,495",46174,black,https://www.carpages.ca/used-cars/ontario/ottawa/2022-mercedes-benz-gle-class-13298708/,Coupe
2024,BMW,4,"$62,995",31711,gray,https://www.carpages.ca/used-cars/ontario/north-york/2024-bmw-4-series-13297808/,Coupe
2012,Ford,Mustang,"$8,995",200250,black,https://www.carpages.ca/used-cars/ontario/komoka/2012-ford-mustang-13297055/,Coupe
2020,Tesla,Model,"$36,998",80586,Other,https://www.carpages.ca/used-cars/ontario/nepean/2020-tesla-model-y-13296242/,Coupe
2026,Ford,Mustang,"$54,165",0,blue,https://www.carpages.ca/new-cars/british-columbia/sechelt/2026-ford-mustang-13295321/,Coupe
2026,Hyundai,KONA,"$39,336",25,red,https://www.carpages.ca/new-cars/ontario/nepean/2026-hyundai-kona-13295228/,Coupe
2009,Smart,fortwo,$950,189740,blue,https://www.carpages.ca/used-cars/alberta/calgary/2009-smart-fortwo-13293989/,Coupe
2016,Ford,Mustang,"$16,000",87923,blue,https://www.carpages.ca/used-cars/alberta/calgary/2016-ford-mustang-13293944/,Coupe
2011,Audi,A5,"$8,000",176444,black,https://www.carpages.ca/used-cars/alberta/calgary/2011-audi-a5-s-13293899/,Coupe
2012,MINI,Cooper,"$4,300",148830,red,https://www.carpages.ca/used-cars/alberta/calgary/2012-mini-cooper-13293875/,Coupe
2017,Toyota,86,"$15,500",153749,white,https://www.carpages.ca/used-cars/alberta/calgary/2017-toyota-86-13293830/,Coupe
1995,Mazda,Miata,"$9,500",70676,maroon,https://www.carpages.ca/used-cars/alberta/calgary/1995-mazda-miata-mx-5-13293809/,Coupe
2007,Ford,Focus,"$1,500",223379,gray,https://www.carpages.ca/used-cars/alberta/calgary/2007-ford-focus-13293797/,Coupe
2025,Ford,Mustang,"$40,325",0,black,https://www.carpages.ca/new-cars/british-columbia/new-westminster/2025-ford-mustang-13293629/,Coupe
