year,make,model,price,mileage,color,url,body_type
2023,Jeep,Wrangler,"$51,995",23032,black,https://www.carpages.ca/used-cars/ontario/tilbury/2023-jeep-wrangler-13299557/,hybrid
2025,Mitsubishi,Outlander,"$53,398",232,black,https://www.carpages.ca/used-cars/british-columbia/coquitlam/2025-mitsubishi-outlander-13298954/,hybrid
2026,Toyota,Highlander,"$60,597",5,black,https://www.carpages.ca/new-cars/ontario/ottawa/2026-toyota-highlander-13298753/,hybrid
2024,Lexus,ES,"$60,099",10067,black,https://www.carpages.ca/used-cars/saskatchewan/regina/2024-lexus-es-300-13298738/,hybrid
2023,Ford,F-150,"$56,247",71453,gray,https://www.carpages.ca/used-cars/saskatchewan/regina/2023-ford-f-150-13298732/,hybrid
2017,Cadillac,CT6,"$18,900",180000,white,https://www.carpages.ca/used-cars/ontario/toronto/2017-cadillac-ct6-13298720/,hybrid
2026,Ford,Escape,"$50,494",20,red,https://www.carpages.ca/new-cars/ontario/mississauga/2026-ford-escape-13298432/,hybrid
2026,Ford,Escape,"$50,694",20,white,https://www.carpages.ca/new-cars/ontario/mississauga/2026-ford-escape-13298426/,hybrid
2026,Ford,Maverick,"$46,717",26,white,https://www.carpages.ca/new-cars/ontario/ottawa/2026-ford-maverick-13298381/,hybrid
2026,Ford,Transit,"$69,427",26,white,https://www.carpages.ca/new-cars/ontario/ottawa/2026-ford-transit-13298378/,hybrid
2026,Ford,Transit,"$67,202",26,white,https://www.carpages.ca/new-cars/ontario/ottawa/2026-ford-transit-13298375/,hybrid
2026,Ford,Escape,"$55,893",0,black,https://www.carpages.ca/new-cars/manitoba/selkirk/2026-ford-escape-13298177/,hybrid
2025,Toyota,Tundra,"$85,161.72",0,lunar,https://www.carpages.ca/new-cars/new-brunswick/fredericton/2025-toyota-tundra-13298018/,hybrid
2024,Audi,Q4,"$45,995",31656,black,https://www.carpages.ca/used-cars/ontario/north-york/2024-audi-q4-e-tron-13297823/,hybrid
2022,Audi,E-Tron,"$45,898",75427,gray,https://www.carpages.ca/used-cars/ontario/vaughan/2022-audi-e-tron-13297787/,hybrid
2024,Audi,Q8,"$62,900",65534,white,https://www.carpages.ca/used-cars/ontario/vaughan/2024-audi-q8-e-tron-13297778/,hybrid
2022,Tesla,Model,"$26,995",116089,Other,https://www.carpages.ca/used-cars/british-columbia/coquitlam/2022-tesla-model-3-13297718/,hybrid
2023,Hyundai,KONA,"$23,494",87453,black,https://www.carpages.ca/used-cars/quebec/saint-hubert/2023-hyundai-kona-13297694/,hybrid
2026,Hyundai,KONA,"$52,211",50,blue,https://www.carpages.ca/new-cars/british-columbia/north-vancouver/2026-hyundai-kona-13297559/,hybrid
2015,Chevrolet,Volt,"$8,995",142656,black,https://www.carpages.ca/used-cars/ontario/london/2015-chevrolet-volt-13297331/,hybrid
2026,Hyundai,IONIQ,"$66,718",26,green,https://www.carpages.ca/new-cars/manitoba/winnipeg/2026-hyundai-ioniq-5-13297217/,hybrid
2026,Hyundai,IONIQ,"$60,518",26,gray,https://www.carpages.ca/new-cars/manitoba/winnipeg/2026-hyundai-ioniq-5-13297214/,hybrid
2026,Hyundai,Elantra,"$35,798",26,white,https://www.carpages.ca/new-cars/manitoba/winnipeg/2026-hyundai-elantra-hybrid-13297211/,hybrid
2026,Hyundai,Sonata,"$40,823",26,gray,https://www.carpages.ca/new-cars/manitoba/winnipeg/2026-hyundai-sonata-13297205/,hybrid
2026,Hyundai,Santa,"$61,648",26,black,https://www.carpages.ca/new-cars/manitoba/winnipeg/2026-hyundai-santa-fe-hybrid-13297202/,hybrid
2026,Hyundai,Elantra,"$36,048",26,gray,https://www.carpages.ca/new-cars/manitoba/winnipeg/2026-hyundai-elantra-hybrid-13297196/,hybrid
2026,Hyundai,Elantra,"$36,048",26,black,https://www.carpages.ca/new-cars/manitoba/winnipeg/2026-hyundai-elantra-hybrid-13297193/,hybrid
2026,Honda,CR-V,"$49,549",8,black,https://www.carpages.ca/new-cars/manitoba/winnipeg/2026-honda-cr-v-hybrid-13297163/,hybrid
2024,Toyota,RAV4,"$45,998",43861,black,https://www.carpages.ca/used-cars/ontario/ottawa/2024-toyota-rav4-13296779/,hybrid
