year,make,model,price,mileage,color,url,body_type
2013,Nissan,Sentra,"$5,888",189305,black,https://www.carpages.ca/used-cars/ontario/north-york/2013-nissan-sentra-13299512/,Sedan
2015,Cadillac,CTS,"$18,995",78900,red,https://www.carpages.ca/used-cars/ontario/barrie/2015-cadillac-cts-13299500/,Sedan
2014,Chevrolet,Cruze,"$9,499",89000,black,https://www.carpages.ca/used-cars/ontario/brantford/2014-chevrolet-cruze-13299446/,Sedan
2015,Chevrolet,Cruze,"$9,499",95000,brown,https://www.carpages.ca/used-cars/ontario/brantford/2015-chevrolet-cruze-13299437/,Sedan
2018,Hyundai,Elantra,"$9,999",182100,white,https://www.carpages.ca/used-cars/ontario/st-catharines/2018-hyundai-elantra-13299419/,Sedan
2018,Hyundai,Elantra,"$9,999",124311,white,https://www.carpages.ca/used-cars/ontario/ajax/2018-hyundai-elantra-13299407/,Sedan
2016,Chevrolet,Cruze,"$6,499",202698,black,https://www.carpages.ca/used-cars/ontario/ajax/2016-chevrolet-cruze-13299335/,Sedan
2012,Chevrolet,Cruze,"$5,999",234446,black,https://www.carpages.ca/used-cars/ontario/ajax/2012-chevrolet-cruze-13299332/,Sedan
2024,Tesla,Model,"$40,999",40047,gray,https://www.carpages.ca/used-cars/british-columbia/abbotsford/2024-tesla-model-3-13299284/,Sedan
2023,Subaru,WRX,"$27,988",26282,Other,https://www.carpages.ca/used-cars/alberta/calgary/2023-subaru-wrx-13299209/,Sedan
2017,Nissan,Sentra,"$11,995",111333,blue,https://www.carpages.ca/used-cars/british-columbia/richmond/2017-nissan-sentra-13299074/,Sedan
2011,Mazda,MAZDA3,"$9,995",172281,gray,https://www.carpages.ca/used-cars/british-columbia/richmond/2011-mazda-mazda3-13299071/,Sedan
2020,Hyundai,Elantra,"$15,995",90513,black,https://www.carpages.ca/used-cars/british-columbia/richmond/2020-hyundai-elantra-13299068/,Sedan
2015,Mercedes-Benz,C-Class,"$21,995",106400,black,https://www.carpages.ca/used-cars/ontario/ottawa/2015-mercedes-benz-c-class-13298858/,Sedan
2013,Hyundai,Elantra,"$6,995",187621,blue,https://www.carpages.ca/used-cars/ontario/london/2013-hyundai-elantra-gt-13298807/,Sedan
2018,Mercedes-Benz,CLA-Class,"$18,895",112488,white,https://www.carpages.ca/used-cars/ontario/scarborough/2018-mercedes-benz-cla-class-13298783/,Sedan
2017,Cadillac,CT6,"$18,900",180000,white,https://www.carpages.ca/used-cars/ontario/toronto/2017-cadillac-ct6-13298720/,Sedan
2021,Honda,Civic,"$25,495",12962,red,https://www.carpages.ca/used-cars/ontario/ottawa/2021-honda-civic-13298702/,Sedan
2018,Chrysler,300,"$24,900",114042,white,https://www.carpages.ca/used-cars/alberta/edmonton/2018-chrysler-300-13298699/,Sedan
2019,Toyota,Corolla,"$18,999",111300,white,https://www.carpages.ca/used-cars/ontario/welland/2019-toyota-corolla-13298657/,Sedan
2014,Honda,Civic,"$3,422",363224,unknown,https://www.carpages.ca/used-cars/ontario/north-bay/2014-honda-civic-13298408/,Sedan
